Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
Mike Petke,2008,D,COL,11,10,831,2,0,0.22,0.0,1,0,0,2,0,0,133000.0,133000.0,2
Miles Robinson,2017,D,ATL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,250000.08,390000.08,0
Milovan Mirosevic,2012,M,CLB,26,25,2140,4,2,0.17,0.08,2,1,2,2,2,0,200000.0,223333.33,6
Milton Rodriguez,2010,F,DAL,14,14,867,5,1,0.54,0.11,2,1,3,2,0,1,168000.0,228000.0,6
Mohammed Saeid,2015,M,CLB,27,18,1606,0,1,0.0,0.06,0,1,0,0,1,0,200000.0,220000.0,1
Mohammed Saeid,2016,M,CLB,25,24,2016,0,5,0.0,0.22,0,2,0,0,5,0,110000.0,120000.0,5
Mohammed Saeid,2017,M,COL,32,30,2512,1,4,0.04,0.14,0,2,0,1,4,0,160000.0,170000.0,5
Moises Hernandez,2011,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,84000.0,89000.0,0
Moises Hernandez,2012,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,33756.0,35381.0,0
Moises Hernandez,2014,D,DAL,19,15,1291,0,0,0.0,0.0,0,0,0,0,0,0,97650.0,100900.0,0
Moises Hernandez,2015,D,DAL,14,11,968,0,2,0.0,0.19,0,1,0,0,2,0,120000.0,123250.0,2
Moises Hernandez,2016,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,200000.0,210000.0,0
Mouloud Akloul,2011,D,VAN,8,7,625,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,150000.0,0
Mpho Moloi,2007,M,HOU,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,35400.0,35400.0,0
Mustapha Jarju,2011,F,VAN,10,5,450,0,0,0.0,0.0,0,0,0,0,0,0,400008.0,426883.0,0
Nat Borchers,2008,D,RSL,32,32,2880,0,1,0.0,0.03,0,0,0,0,1,0,240000.0,255000.0,1
Nat Borchers,2009,D,RSL,34,34,3099,1,0,0.03,0.0,0,0,0,1,0,0,260000.0,275000.0,1
Nat Borchers,2010,D,RSL,32,32,2853,2,1,0.07,0.5,0,0,1,1,1,0,280000.0,295000.0,3
Nat Borchers,2011,D,RSL,31,31,2631,3,1,0.11,0.04,2,1,3,0,1,0,319992.0,338117.0,4
Nat Borchers,2012,D,RSL,28,28,2520,2,0,0.08,0.0,1,0,1,1,0,0,400008.0,423945.5,2
Nat Borchers,2013,D,RSL,33,33,3030,1,2,0.04,0.07,0,0,0,1,0,2,400008.0,423945.5,3
Nat Borchers,2014,D,RSL,34,34,3036,1,0,0.03,0.0,0,0,0,1,0,0,450000.0,473937.5,1
Nat Borchers,2015,D,POR,37,37,3360,4,0,0.26,0.0,1,0,2,2,0,0,470000.0,490000.0,4
Nat Borchers,2016,D,POR,21,21,1812,1,1,0.05,0.05,0,0,0,1,0,1,245000.0,255000.0,2
Nate Jaqua,2007,F,HOU,29,22,2033,8,2,0.7,0.1,2,0,7,1,1,1,225000.0,239050.0,10
Nate Jaqua,2008,F,HOU,16,12,1003,4,4,0.4,0.4,2,1,4,0,4,0,312000.0,348250.0,8
Nate Jaqua,2009,F,SEA,30,29,2488,9,7,0.36,0.28,2,2,6,3,4,3,379992.0,416242.0,16
Nate Jaqua,2010,F,SEA,17,3,431,0,4,0.0,4.75,0,1,0,0,0,4,300000.0,314000.0,4
Nate Jaqua,2011,F,SEA,23,7,843,0,2,0.0,0.21,0,1,0,0,0,2,280008.0,280008.0,2
Nathan Sturgis,2008,M,RSL,3,2,118,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,216000.0,0
