Player,Year,POS,club,GP,GS,MINS,G,A,G/90min,A/90min,GWG,GWA,HmG,RdG,HmA,RdA,base_salary,guaranteed_compensation,G+A
Collin Fernandez,2015,M,CHI,1,0,6,0,0,0.0,0.0,0,0,0,0,0,0,65000.0,67000.0,0
Collin Fernandez,2016,M,CHI,2,0,8,0,0,0.0,0.0,0,0,0,0,0,0,75000.0,77000.0,0
Collin Fernandez,2017,M,CHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,170000.0,174000.0,0
Collin Martin,2016,M,DC,2,1,91,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,178333.34,0
Collins John,2010,F,CHI,17,10,901,3,1,0.3,0.1,0,0,1,2,1,0,160000.0,181875.0,4
Connor Maloney,2017,D,CLB,2,1,127,0,1,0.0,0.71,0,0,0,0,0,1,106008.0,106008.0,1
Conor Casey,2007,F,COL,17,11,1033,2,3,0.17,0.26,1,1,1,1,1,2,180000.0,180000.0,5
Conor Casey,2008,F,COL,21,16,1313,11,2,0.75,0.14,3,0,5,6,1,1,190008.0,190008.0,13
Conor Casey,2009,F,COL,24,24,2087,16,1,0.69,0.04,2,1,7,9,1,0,200000.0,200000.0,17
Conor Casey,2010,F,COL,31,30,2708,15,6,0.94,0.24,3,2,9,6,3,3,700000.0,700000.0,21
Conor Casey,2011,F,COL,14,11,809,6,1,0.67,0.11,0,1,4,2,1,0,800000.0,800000.0,7
Conor Casey,2012,F,COL,18,13,1156,2,3,0.16,0.23,0,0,1,1,3,0,400000.0,400000.0,5
Conor Casey,2013,F,PHI,31,25,2201,10,5,0.41,0.2,3,0,6,4,2,3,175000.0,175000.0,15
Conor Casey,2014,F,PHI,25,18,1434,8,2,0.5,0.13,3,1,5,3,2,0,192500.0,192500.0,10
Conor Casey,2015,F,PHI,14,2,340,3,1,0.79,0.26,1,0,0,3,1,0,180000.0,180000.0,4
Conor Casey,2016,F,CLB,4,0,35,0,0,0.0,0.0,0,0,0,0,0,0,105000.0,105000.0,0
Conor Donovan,2015,D,ORL,1,1,14,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,108000.0,0
Conor Donovan,2016,D,ORL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,90000.0,118000.0,0
Conor Donovan,2017,D,ORL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,100000.0,128000.0,0
Conor Doyle,2016,F,COL,3,0,23,0,0,0.0,0.0,0,0,0,0,0,0,132000.0,134500.0,0
Corben Bone,2010,M,CHI,5,1,114,0,0,0.0,0.0,0,0,0,0,0,0,75000.0,136200.0,0
Corben Bone,2011,M,CHI,10,7,534,0,1,0.0,0.17,0,0,0,0,0,1,90000.0,151200.0,1
Corben Bone,2012,M,CHI,2,0,26,0,0,0.0,0.0,0,0,0,0,0,0,200000.0,322400.0,0
Corben Bone,2013,M,CHI,1,0,3,0,0,0.0,0.0,0,0,0,0,0,0,46500.0,49000.0,0
Corben Bone,2014,M,PHI,2,0,13,0,0,0.0,0.0,0,0,0,0,0,0,48825.0,51325.0,0
Cordell Cato,2012,F,SEA,8,0,117,0,1,0.0,0.77,0,1,0,0,0,1,88000.0,88000.0,1
Cordell Cato,2017,F,SJ,15,13,1138,0,1,0.0,0.08,0,0,0,0,1,0,274000.0,277333.34,1
Corey Ashe,2007,M,HOU,22,6,811,0,4,0.0,0.44,0,2,0,0,4,0,60000.0,60000.0,4
Corey Ashe,2008,M,HOU,23,8,892,1,1,0.11,0.11,0,0,0,1,1,0,66000.0,66000.0,2
Corey Ashe,2009,M,HOU,29,13,1310,0,3,0.0,0.22,0,1,0,0,0,3,69300.0,69300.0,3
Corey Ashe,2010,M,HOU,27,19,1650,0,3,0.0,0.16,0,1,0,0,3,0,40000.0,40000.0,3
Corey Ashe,2011,M,HOU,36,34,2971,0,0,0.0,0.0,0,0,0,0,0,0,160000.0,169000.0,0
Corey Ashe,2012,M,HOU,36,36,3165,0,2,0.0,0.07,0,0,0,0,1,1,180000.0,189000.0,2
Corey Ashe,2013,M,HOU,34,33,2975,0,3,0.0,0.30000000000000004,0,0,0,0,2,1,202500.0,211500.0,3
Corey Ashe,2014,M,HOU,21,20,1879,0,3,0.0,0.14,0,0,0,0,2,1,165000.0,174750.0,3
Corey Ashe,2016,M,CLB,18,14,1214,0,4,0.0,0.3,0,0,0,0,2,2,95000.0,105500.0,4
Corey Hertzog,2013,F,VAN,7,6,428,1,1,0.21,0.21,0,1,0,1,1,0,50004.0,60670.67,2
Cory Elenio,2008,M,CLB,1,0,9,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Cory Elenio,2009,M,CLB,1,0,17,0,0,0.0,0.0,0,0,0,0,0,0,40200.0,40200.0,0
Cory Gibbs,2008,D,COL,9,9,810,1,0,0.11,0.0,0,0,0,1,0,0,96000.0,103142.86,1
Cory Gibbs,2009,D,COL,20,19,1575,0,0,0.0,0.0,0,0,0,0,0,0,110000.0,117142.86,0
Cory Gibbs,2011,D,CHI,26,26,2203,3,1,0.12,0.04,0,0,3,0,1,0,150000.0,150000.0,4
Cory Gibbs,2012,D,CHI,3,3,270,0,0,0.0,0.0,0,0,0,0,0,0,330000.0,330000.0,0
Coy Craft,2014,F-M,DAL,1,0,6,0,0,0.0,0.0,0,0,0,0,0,0,97008.0,131174.66,0
Coy Craft,2015,F-M,DAL,2,1,67,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,154166.66,0
Coy Craft,2016,F-M,DAL,2,0,17,0,0,0.0,0.0,0,0,0,0,0,0,140000.0,174166.66,0
Coy Craft,2017,F-M,DAL,1,0,11,0,0,0.0,0.0,0,0,0,0,0,0,85000.0,102083.33,0
Craig Waibel,2007,D,HOU,25,22,1957,0,4,0.0,0.6799999999999999,0,1,0,0,2,2,170000.0,170000.0,4
Craig Waibel,2008,D,HOU,14,14,1245,0,3,0.0,0.22,0,0,0,0,3,0,140016.0,140016.0,3
Craig Waibel,2009,D,HOU,13,8,679,1,0,0.13,0.0,0,0,1,0,0,0,154017.6,154017.6,1
Cristhian Hernandez,2012,F,PHI,2,0,26,0,0,0.0,0.0,0,0,0,0,0,0,52500.0,54375.0,0
Cristhian Hernandez,2013,F,PHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,62500.0,64375.0,0
Cristian Colman,2017,F,DAL,26,10,959,2,1,0.19,0.09,1,0,0,2,0,1,300000.0,385000.0,3
Cristian Higuita,2015,M,ORL,26,25,2228,1,2,0.04,0.08,0,0,1,0,1,1,60000.0,60000.0,3
Cristian Higuita,2016,M,ORL,21,16,1513,1,1,0.06,0.06,1,0,1,0,1,0,80000.0,80000.0,2
Cristian Higuita,2017,M,ORL,26,18,1554,0,3,0.0,0.17,0,1,0,0,3,0,150000.0,150000.0,3
Cristian Maidana,2014,M,PHI,26,23,1889,2,11,0.1,0.52,1,2,0,2,8,3,185000.0,198750.0,13
Cristian Maidana,2015,M,PHI,28,25,2121,1,15,0.04,0.64,0,3,1,0,9,6,203500.0,217250.0,16
Cristian Maidana,2016,M,HOU,30,21,1695,3,4,0.16,0.21,1,1,3,0,3,1,223850.0,237600.0,7
Cristian Martinez,2017,M,CLB,8,1,237,0,0,0.0,0.0,0,0,0,0,0,0,131266.8,140266.8,0
Cristian Nazarit,2011,F,CHI,12,6,624,2,0,0.29,0.0,1,0,0,2,0,0,240000.0,302500.0,2
Cristian Roldan,2015,M,SEA,25,11,1174,0,1,0.0,0.08,0,0,0,0,0,1,160000.0,204000.0,1
Cristian Roldan,2016,M,SEA,39,34,3202,4,3,0.14,0.1,1,2,4,0,1,2,190000.0,234000.0,7
Cristian Roldan,2017,M,SEA,38,38,3410,6,3,0.18,0.09,3,2,5,1,2,1,230000.0,274000.0,9
Cristian Techera,2015,M,VAN,24,19,1751,7,5,0.4,0.29,2,2,5,2,3,2,120000.0,170000.0,12
Cristian Techera,2016,M,VAN,29,19,1584,2,2,0.11,0.11,0,0,2,0,2,0,320000.0,345000.0,4
Cristian Techera,2017,M,VAN,32,26,2196,7,8,0.85,0.8999999999999999,2,3,5,2,6,2,704000.0,754000.0,15
Cuauhtemoc Blanco,2007,M,CHI,17,17,1496,4,8,0.29,0.8500000000000001,2,2,2,2,4,4,4984632.0,5333556.0,12
Cuauhtemoc Blanco,2008,M,CHI,30,30,2668,7,11,0.26,0.41,1,2,2,5,6,5,4984632.0,5333556.0,18
Cuauhtemoc Blanco,2009,M,CHI,24,18,1752,6,8,0.61,0.5,1,3,3,3,4,4,5538480.0,5887404.0,14
Cyle Larin,2015,F,ORL,27,24,1906,17,0,0.8,0.0,4,0,8,9,0,0,125000.0,167000.0,17
Cyle Larin,2016,F,ORL,32,29,2455,14,3,0.51,0.11,2,0,9,5,2,1,135000.0,177000.0,17
Cyle Larin,2017,F,ORL,28,24,2169,12,3,0.5,0.12,5,0,7,5,1,2,150000.0,192000.0,15
DaMarcus Beasley,2014,D,HOU,10,10,821,0,0,0.0,0.0,0,0,0,0,0,0,750000.0,779166.67,0
DaMarcus Beasley,2015,D,HOU,28,28,2374,1,1,0.04,0.04,0,1,1,0,1,0,750000.0,813333.33,2
DaMarcus Beasley,2016,D,HOU,24,24,1979,1,0,0.05,0.0,0,0,0,1,0,0,750000.0,813333.33,1
DaMarcus Beasley,2017,D,HOU,28,26,2375,0,1,0.0,0.05,0,0,0,0,1,0,632016.0,702016.0,1
Daigo Kobayashi,2013,M,VAN,30,21,1651,2,4,0.11,0.22,0,1,1,1,1,3,225000.0,238833.33,6
Daigo Kobayashi,2016,M,NE,27,6,701,1,0,0.13,0.0,0,0,0,1,0,0,120000.0,132000.0,1
Daigo Kobayashi,2017,M,NE,12,4,507,1,0,0.18,0.0,0,0,0,1,0,0,69996.0,76996.0,1
Dairon Asprilla,2015,M-F,POR,32,13,1338,2,5,0.36,1.0,2,1,1,1,4,1,120000.0,120000.0,7
Dairon Asprilla,2016,M-F,POR,9,6,488,1,0,0.18,0.0,1,0,1,0,0,0,76000.0,76000.0,1
Dairon Asprilla,2017,M-F,POR,29,19,1575,3,4,0.63,0.26,0,0,2,1,2,2,276000.0,276000.0,7
Damien Perquis,2015,D,TOR,25,24,2069,1,1,0.04,0.04,0,0,1,0,1,0,646000.0,745000.0,2
Damien Perquis,2016,D,TOR,12,11,986,1,1,0.09,0.09,0,0,0,1,1,0,378000.0,427500.0,2
Daneil Cyrus,2015,D,CHI,6,5,519,0,0,0.0,0.0,0,0,0,0,0,0,72000.0,77833.33,0
Daniel Antunez,2013,M,CHV,3,1,81,0,0,0.0,0.0,0,0,0,0,0,0,65000.0,72500.0,0
Daniel Cruz,2011,M,DAL,11,6,566,1,1,0.17,0.17,1,0,0,1,0,1,180000.0,212500.0,2
Daniel Hernandez,2009,M,DAL,7,5,526,0,1,0.0,0.17,0,0,0,0,0,1,35352.0,42852.0,1
Daniel Hernandez,2010,M,DAL,28,28,2488,0,0,0.0,0.0,0,0,0,0,0,0,200000.0,225000.0,0
Daniel Hernandez,2011,M,DAL,31,31,2758,2,4,0.07,0.13,1,2,1,1,3,1,320000.0,345000.0,6
Daniel Hernandez,2012,M,DAL,28,22,1938,0,0,0.0,0.0,0,0,0,0,0,0,75000.0,75000.0,0
Daniel Johnson,2017,M,CHI,8,0,125,0,0,0.0,0.0,0,0,0,0,0,0,130008.0,130008.0,0
Daniel Osorno,2007,M,COL,3,0,55,0,0,0.0,0.0,0,0,0,0,0,0,138000.0,143000.0,0
Daniel Paladini,2008,M,CHV,8,5,458,1,0,0.2,0.0,0,0,0,1,0,0,25800.0,25800.0,1
Daniel Paladini,2011,M,CHI,23,16,1491,0,1,0.0,0.06,0,1,0,0,0,1,75000.0,79478.25,1
Daniel Paladini,2012,M,CHI,16,7,706,2,2,0.26,0.26,1,0,1,1,0,2,165000.0,173956.5,4
Daniel Paladini,2013,M,CHI,20,7,823,2,3,0.22,0.33,0,1,2,0,2,1,86625.0,91103.25,5
Daniel Paladini,2014,M,CLB,4,3,221,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,153333.34,0
Daniel Torres,2009,D,DAL,15,8,886,0,0,0.0,0.0,0,0,0,0,0,0,100000.0,110000.0,0
Daniel Wasson,2007,D,COL,5,2,275,0,0,0.0,0.0,0,0,0,0,0,0,17700.0,17700.0,0
Daniel Woolard,2007,D,CHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Daniel Woolard,2008,D,CHI,9,2,264,1,0,0.36,0.0,0,0,1,0,0,0,35400.0,35400.0,1
Daniel Woolard,2009,D,CHI,10,6,594,0,0,0.0,0.0,0,0,0,0,0,0,68000.0,68000.0,0
Daniele Paponi,2013,F,MTL,17,8,828,2,1,0.23,0.11,0,0,2,0,1,0,144000.0,174000.0,3
Danny Califf,2011,D,PHI,35,35,3150,1,0,0.03,0.0,1,0,0,1,0,0,500000.0,500000.0,1
Danny Califf,2012,D,CHV,23,23,2034,1,0,0.04,0.0,1,0,0,1,0,0,275000.0,275000.0,1
Danny Cruz,2009,M-F,HOU,6,0,107,0,0,0.0,0.0,0,0,0,0,0,0,110000.0,196000.0,0
Danny Cruz,2010,M-F,HOU,25,14,1362,2,2,0.13,0.13,1,0,2,0,1,1,75000.0,118000.0,4
Danny Cruz,2011,M-F,HOU,24,17,1442,2,3,0.16,0.23,1,2,1,1,2,1,160000.0,246000.0,5
Danny Cruz,2013,M-F,PHI,32,32,2190,3,2,0.12,0.08,0,0,2,1,0,2,120000.0,126500.0,5
Danny Cruz,2014,M-F,PHI,26,16,1352,3,2,0.2,0.13,1,0,1,2,2,0,125000.0,131666.67,5
Danny Cruz,2015,M-F,PHI,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,125000.0,131666.67,0
Danny Earls,2010,D,COL,18,15,1413,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,82500.0,0
Danny Earls,2011,D,COL,4,3,224,0,0,0.0,0.0,0,0,0,0,0,0,65208.0,65208.0,0
Danny Garcia,2014,M-F,DAL,4,4,282,0,0,0.0,0.0,0,0,0,0,0,0,110000.0,142000.0,0
Danny Garcia,2015,M-F,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,140000.0,172000.0,0
Danny Hoesen,2017,F,SJ,33,21,1928,5,5,0.24,0.24,2,2,5,0,4,1,850008.0,1006258.0,10
Danny Koevermans,2012,F,TOR,16,12,1186,9,2,0.68,0.15,1,1,3,6,1,1,1150000.0,1563323.33,11
Danny Koevermans,2013,F,TOR,4,1,78,0,0,0.0,0.0,0,0,0,0,0,0,1250000.0,1663323.33,0
Danny Mwanga,2010,F,PHI,24,17,1461,7,4,0.43,0.25,1,0,4,3,3,1,100000.0,206250.0,11
Danny Mwanga,2011,F,PHI,30,15,1677,5,4,0.29,0.23,1,2,2,3,2,2,240000.0,452500.0,9
Danny Mwanga,2013,F,COL,13,5,556,0,1,0.0,0.16,0,1,0,0,0,1,260000.0,342500.0,1
Danny Mwanga,2014,F,COL,6,2,214,0,0,0.0,0.0,0,0,0,0,0,0,130000.0,171250.0,0
Danny Mwanga,2015,F,ORL,4,1,110,0,0,0.0,0.0,0,0,0,0,0,0,75000.0,82500.0,0
Danny O'Rourke,2007,D,CLB,27,27,2426,0,1,0.0,0.04,0,0,0,0,0,1,46331.25,56331.25,1
Danny O'Rourke,2008,D,CLB,32,32,2812,0,4,0.0,0.15,0,2,0,0,2,2,118295.62,138295.62,4
Danny O'Rourke,2009,D,CLB,28,28,2518,0,1,0.0,0.04,0,0,0,0,1,0,180000.0,205000.0,1
Danny O'Rourke,2010,D,CLB,17,14,1276,0,1,0.0,0.07,0,0,0,0,0,1,220000.0,245000.0,1
Danny O'Rourke,2011,D,CLB,6,5,471,0,0,0.0,0.0,0,0,0,0,0,0,242000.0,267000.0,0
Danny O'Rourke,2012,D,CLB,21,18,1603,0,0,0.0,0.0,0,0,0,0,0,0,133100.0,145600.0,0
Danny O'Rourke,2013,D,CLB,22,19,1723,0,0,0.0,0.0,0,0,0,0,0,0,170000.0,175000.0,0
Danny O'Rourke,2014,D,POR,12,10,975,0,0,0.0,0.0,0,0,0,0,0,0,55008.0,55008.0,0
Danny Szetela,2007,M,CLB,6,4,379,0,0,0.0,0.0,0,0,0,0,0,0,43135.31,48760.31,0
Darel Russell,2013,D,TOR,18,10,924,3,0,0.29,0.0,0,0,3,0,0,0,99999.96,109874.96,3
Dario Delgado,2010,D,CHV,22,21,1865,0,1,0.0,0.05,1,0,0,0,1,0,42000.0,42000.0,1
Darren Mattocks,2012,F,VAN,22,16,1359,8,1,2.01,0.07,2,1,2,6,1,0,200000.0,384000.0,9
Darren Mattocks,2013,F,VAN,20,8,911,3,1,0.3,0.1,0,0,2,1,1,0,120000.0,212000.0,4
Darren Mattocks,2014,F,VAN,30,20,1802,6,3,0.3,0.15,0,1,4,2,2,1,140000.0,232000.0,9
Darren Mattocks,2015,F,VAN,24,9,877,3,1,0.32,0.11,1,0,2,1,1,0,360000.0,544000.0,4
Darren Mattocks,2016,F,POR,19,12,940,1,3,0.1,0.29,0,1,1,0,3,0,215000.0,231666.67,4
Darren Mattocks,2017,F,POR,26,13,1178,4,2,0.33,0.17,2,1,4,0,1,1,600000.0,633333.34,6
Darwin Jones,2015,F,SEA,9,0,107,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,132500.0,0
Darwin Jones,2016,F,SEA,2,0,22,0,0,0.0,0.0,0,0,0,0,0,0,125000.0,137500.0,0
Dasan Robinson,2007,D,CHI,26,24,2044,1,0,0.05,0.0,0,0,0,1,0,0,85000.0,85000.0,1
Dasan Robinson,2008,D,CHI,5,1,132,0,0,0.0,0.0,0,0,0,0,0,0,89250.0,89250.0,0
Dasan Robinson,2009,D,CHI,15,12,1208,1,0,0.1,0.0,1,0,1,0,0,0,93712.5,93712.5,1
Dasan Robinson,2010,D,CHI,17,17,1369,0,1,0.0,0.07,0,1,0,0,0,1,49200.0,49200.0,1
David Arshakyan,2017,F,CHI,8,0,47,0,0,0.0,0.0,0,0,0,0,0,0,312000.0,357700.0,0
David Arvizu,2007,F,CHV,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,66000.0,81000.0,0
David Choiniere,2017,M,MTL,3,0,34,0,0,0.0,0.0,0,0,0,0,0,0,54075.0,54075.0,0
David Edgar,2017,D,VAN,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,350000.0,367666.66,0
David Estrada,2010,M-F,SEA,3,1,88,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,80000.0,0
David Estrada,2011,M-F,SEA,3,1,108,0,0,0.0,0.0,0,0,0,0,0,0,65208.0,65208.0,0
David Estrada,2012,M-F,SEA,20,12,1078,5,0,0.44,0.0,2,0,4,1,0,0,88000.0,88000.0,5
David Estrada,2013,M-F,SEA,17,4,498,0,0,0.0,0.0,0,0,0,0,0,0,96800.0,96800.0,0
David Ferreira,2009,M,DAL,30,30,2692,8,7,0.27,0.23,0,3,5,3,4,3,300000.0,300000.0,15
David Ferreira,2010,M,DAL,34,34,3089,10,16,0.73,1.1199999999999999,3,5,5,5,9,7,600000.0,600000.0,26
David Ferreira,2011,M,DAL,6,6,505,3,1,0.53,0.18,0,0,2,1,0,1,1200000.0,1410000.0,4
David Ferreira,2012,M,DAL,17,16,1427,2,9,0.13,0.57,2,1,1,1,4,5,600000.0,705000.0,11
David Ferreira,2013,M,DAL,30,26,2419,3,9,0.11,0.33,1,3,0,3,6,3,625000.0,730000.0,12
David Guzman,2017,M,POR,26,25,2118,1,6,0.04,0.27,1,0,1,0,5,1,370008.0,376674.66,7
David Horst,2008,D,RSL,1,1,90,0,0,0.0,0.0,0,0,0,0,0,0,66000.0,66000.0,0
David Horst,2009,D,RSL,2,1,86,0,0,0.0,0.0,0,0,0,0,0,0,68000.0,68000.0,0
David Horst,2010,D,RSL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,80000.0,80000.0,0
David Horst,2011,D,POR,16,11,1170,0,0,0.0,0.0,0,0,0,0,0,0,42000.0,42000.0,0
David Horst,2012,D,POR,21,20,1845,1,0,0.05,0.0,1,0,1,0,0,0,65000.0,65000.0,1
David Horst,2013,D,POR,2,2,108,0,0,0.0,0.0,0,0,0,0,0,0,140000.0,140000.0,0
David Horst,2014,D,HOU,31,31,2653,1,1,0.03,0.03,1,1,0,1,1,0,70000.0,72750.0,2
David Horst,2015,D,HOU,32,28,2603,0,2,0.0,0.07,0,0,0,0,0,2,78750.0,81500.0,2
David Horst,2016,D,HOU,26,24,2211,3,0,0.12,0.0,2,0,2,1,0,0,88593.75,91343.75,3
David Horst,2017,D,RSL,12,8,880,0,1,0.0,0.1,0,0,0,0,0,1,110004.0,115004.0,1
David Mateos,2015,D,ORL,6,6,540,0,1,0.0,0.17,0,1,0,0,1,0,300000.0,325000.0,1
David Mateos,2016,D,ORL,21,20,1759,0,0,0.0,0.0,0,0,0,0,0,0,420000.0,453333.33,0
David Texeira,2014,F,DAL,21,9,847,4,0,0.43,0.0,1,0,4,0,0,0,676000.0,676000.0,4
David Texeira,2015,F,DAL,26,23,1679,7,3,0.71,0.19,3,1,2,5,1,2,676000.0,676000.0,10
David Wagenfuhr,2007,D,DAL,13,10,828,0,0,0.0,0.0,0,0,0,0,0,0,61740.0,61740.0,0
David Wagenfuhr,2008,D,DAL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,44500.0,45250.0,0
Davide Chiumiento,2011,M,VAN,26,20,1674,2,9,0.11,0.48,0,1,1,1,6,3,280000.0,280000.0,11
Davy Arnaud,2012,M,MTL,33,31,2765,4,3,0.13,0.1,1,1,4,0,2,1,275000.0,290000.0,7
Davy Arnaud,2013,M,MTL,24,21,1766,1,5,0.05,0.25,1,1,0,1,3,2,550000.0,580000.0,6
Dejan Rusmir,2011,M,CLB,18,13,1016,0,2,0.0,0.18,0,1,0,0,1,1,319992.0,340992.0,2
Dema Kovalenko,2008,M,RSL,24,21,1817,2,2,0.65,0.11,0,1,1,1,2,0,400000.0,415237.5,4
Demar Phillips,2015,D,RSL,18,16,1376,0,0,0.0,0.0,0,0,0,0,0,0,140000.0,149666.67,0
Demar Phillips,2016,D,RSL,30,24,2267,0,5,0.0,0.21,0,1,0,0,3,2,255000.0,270666.66,5
Demar Phillips,2017,D,RSL,13,11,961,0,2,0.0,0.19,0,2,0,0,0,2,155004.0,162837.33,2
Dennis Castillo,2016,D,COL,4,1,123,0,1,0.0,0.73,0,0,0,0,1,0,103000.08,103000.08,1
Dennis Castillo,2017,D,COL,3,3,244,0,0,0.0,0.0,0,0,0,0,0,0,54075.0,54075.0,0
Dennis Iapichino,2012,D,MTL,7,5,438,0,1,0.0,0.21,0,1,0,0,1,0,102000.0,102000.0,1
Deris Umanzor,2010,D,CHI,10,5,502,0,0,0.0,0.0,0,0,0,0,0,0,72000.0,72000.0,0
Deshorn Brown,2013,F,COL,32,25,2242,10,4,0.41,0.17,2,1,6,4,3,1,130000.0,226000.0,14
Deshorn Brown,2014,F,COL,30,26,2288,10,0,0.39,0.0,1,0,6,4,0,0,75000.0,123000.0,10
Desmond Brooks,2007,D,CHV,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,25800.0,25800.0,0
Devon Sandoval,2013,F,RSL,20,12,1071,4,0,0.79,0.0,2,0,2,2,0,0,70250.0,70250.0,4
Devon Sandoval,2014,F,RSL,15,7,633,0,1,0.0,0.14,0,0,0,0,1,0,97000.0,97000.0,1
Devon Sandoval,2015,F,RSL,30,17,1606,4,2,0.22,0.11,2,2,2,2,1,1,60000.0,60000.0,6
Devon Sandoval,2016,F,RSL,12,2,228,0,0,0.0,0.0,0,0,0,0,0,0,135000.0,135000.0,0
Devron Garcia,2016,M-D,ORL,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,62500.0,70937.5,0
Deybi Flores,2015,M,VAN,9,5,446,0,0,0.0,0.0,0,0,0,0,0,0,120000.0,120000.0,0
Deybi Flores,2016,M,VAN,1,1,45,0,0,0.0,0.0,0,0,0,0,0,0,62500.0,68385.0,0
Dicoy Williams,2012,D,TOR,2,1,86,0,0,0.0,0.0,0,0,0,0,0,0,52500.0,52500.0,0
Diego Calderon,2013,D,COL,4,4,304,0,0,0.0,0.0,0,0,0,0,0,0,100000.0,100000.0,0
Diego Chara,2011,M,POR,28,27,2401,2,4,0.07,0.15,1,1,2,0,3,1,100008.0,143758.0,6
Diego Chara,2012,M,POR,28,28,2473,0,0,0.0,0.0,0,0,0,0,0,0,150000.0,193750.0,0
Diego Chara,2013,M,POR,35,35,3097,0,4,0.0,0.35,0,2,0,0,2,2,400008.0,487508.0,4
Diego Chara,2014,M,POR,31,31,2745,2,5,0.07,0.16,0,3,2,0,2,3,170000.0,170000.0,7
Diego Chara,2015,M,POR,32,32,2839,3,1,0.32,0.04,1,0,1,2,1,0,340000.0,340000.0,4
Diego Chara,2016,M,POR,30,30,2600,0,1,0.0,0.03,0,1,0,0,1,0,150000.0,172000.0,1
Diego Chara,2017,M,POR,30,30,2575,1,3,0.04,0.11,1,1,0,1,2,1,1000000.0,1044000.0,4
Diego Chaves,2011,F,CHI,29,19,1699,6,1,0.32,0.05,2,1,3,3,1,0,45000.0,45000.0,7
Diego Fagundez,2011,M,NE,6,3,314,2,1,0.57,0.29,0,0,2,0,0,1,52500.0,53500.0,3
Diego Fagundez,2012,M,NE,20,8,770,2,2,0.23,0.23,1,1,2,0,1,1,55000.0,56000.0,4
Diego Fagundez,2013,M,NE,33,30,2637,13,7,0.48,0.26,5,3,8,5,4,3,199992.0,254392.0,20
Diego Fagundez,2014,M,NE,31,25,2142,5,4,0.21,0.17,1,1,4,1,3,1,220000.0,274400.0,9
Diego Fagundez,2015,M,NE,31,20,1786,6,4,0.31,0.21,4,2,4,2,3,1,250000.0,304400.0,10
Diego Fagundez,2016,M,NE,34,24,2237,6,6,0.24,0.24,2,1,4,2,3,3,145000.0,165000.0,12
Diego Fagundez,2017,M,NE,32,27,2435,7,8,0.26,0.3,2,1,6,1,6,2,160000.0,180000.0,15
Diego Gutierrez,2007,D,CHI,26,23,2037,0,1,0.0,0.05,0,0,0,0,1,0,253000.0,253000.0,1
Diego Gutierrez,2008,D,CHI,20,19,1660,0,1,0.0,0.05,0,0,0,0,1,0,210000.0,215000.0,1
Diego Rodriguez,2015,D,VAN,4,3,257,0,0,0.0,0.0,0,0,0,0,0,0,248000.0,331500.0,0
Diego Valeri,2013,M,POR,35,32,2542,11,13,0.74,0.51,2,3,6,5,9,4,800000.0,800000.0,24
Diego Valeri,2014,M,POR,33,32,2763,11,14,0.36,0.46,4,1,7,4,10,4,500000.0,500000.0,25
Diego Valeri,2015,M,POR,27,25,2187,3,12,0.3,1.18,1,4,1,2,4,8,1100000.0,1100000.0,15
Diego Valeri,2016,M,POR,30,30,2634,14,7,0.48,0.24,4,2,9,5,5,2,600000.0,550000.0,21
Diego Valeri,2017,M,POR,34,34,3008,21,12,0.67,0.85,7,3,13,8,8,4,4455000.0,5215000.0,33
Dillon Powers,2013,M,COL,30,29,2457,5,6,0.18,0.22,1,1,3,2,4,2,93000.0,158000.0,11
Dillon Powers,2014,M,COL,30,27,2328,5,9,0.19,0.35,1,1,4,1,5,4,95150.0,127650.0,14
Dillon Powers,2015,M,COL,32,25,2235,3,6,0.12,0.24,1,2,0,3,3,3,245000.0,275000.0,9
Dillon Powers,2016,M,COL,32,26,2294,1,4,0.04,0.17,0,1,0,1,2,2,540000.0,600000.0,5
Dillon Powers,2017,M,COL,21,15,1309,0,1,0.0,0.07,0,1,0,0,1,0,295000.0,325000.0,1
Dillon Serna,2013,M,COL,1,0,13,0,0,0.0,0.0,0,0,0,0,0,0,93000.0,119000.0,0
Dillon Serna,2014,M,COL,27,18,1623,3,4,0.17,0.22,0,2,0,3,2,2,52500.0,65500.0,7
